id,label
0,108
1,108
2,109
3,109
4,109
5,109
6,109
7,109
8,110
9,110
10,110
11,58
12,58
13,58
14,58
15,58
16,58
17,58
18,58
19,58
20,59
21,59
22,59
23,51
24,27
25,78
26,78
27,78
28,78
29,79
30,79
31,79
32,79
33,79
34,80
35,18
36,28
37,19
38,19
39,19
40,19
41,19
42,19
43,19
44,19
45,20
46,20
47,20
48,102
49,102
50,102
51,102
52,103
53,103
54,103
55,103
56,104
57,104
58,104
59,24
60,24
61,26
62,57
63,57
64,57
65,58
66,58
67,58
68,58
69,59
70,59
71,51
72,51
73,90
74,52
75,52
76,52
77,52
78,52
79,100
80,100
81,52
82,52
83,121
84,53
85,68
86,132
87,132
88,132
89,132
90,132
91,133
92,133
93,133
94,134
95,134
96,24
97,24
98,25
99,68
100,123
101,124
102,42
103,43
104,61
105,44
106,21
107,21
108,22
109,22
110,22
111,22
112,22
113,22
114,49
115,50
116,50
117,50
118,50
119,111
120,39
121,39
122,72
123,40
124,73
125,41
126,74
127,74
128,24
129,68
130,71
131,75
132,111
133,76
134,112
135,77
136,77
137,77
138,77
139,77
140,54
141,54
142,54
143,54
144,54
145,54
146,55
147,55
148,55
149,55
150,55
151,55
152,55
153,56
154,56
155,56
156,105
157,105
158,105
159,106
160,106
161,106
162,106
163,106
164,106
165,107
166,107
167,107
168,24
169,25
170,26
171,84
172,84
173,85
174,85
175,85
176,86
177,86
178,27
179,18
180,18
181,18
182,18
183,18
184,65
185,65
186,18
187,18
188,19
189,19
190,19
191,19
192,19
193,19
194,20
195,20
196,20
197,20
198,57
199,57
200,57
201,58
202,59
203,59
204,59
205,24
206,25
207,26
208,84
209,84
210,85
211,85
212,85
213,85
214,85
215,85
216,86
217,42
218,43
219,43
220,44
221,66
222,67
223,67
224,67
225,49
226,49
227,50
228,50
229,50
230,57
231,57
232,57
233,58
234,58
235,58
236,58
237,59
238,59
239,59
240,51
241,51
242,52
243,52
244,52
245,52
246,52
247,52
248,52
249,80
250,80
251,80
252,69
253,129
254,69
255,129
256,130
257,130
258,130
259,130
260,130
261,130
262,131
263,51
264,67
265,131
266,52
267,52
268,52
269,52
270,52
271,52
272,53
273,53
274,53
275,124
276,124
277,124
278,125
279,125
280,37
281,129
282,129
283,129
284,69
285,70
286,130
287,70
288,70
289,70
290,70
291,130
292,130
293,131
294,131
295,131
296,131
297,131
298,121
299,121
300,121
301,121
302,121
303,121
304,121
305,122
306,85
307,86
308,132
309,132
310,132
311,133
312,133
313,133
314,134
315,134
316,134
317,24
318,24
319,24
320,49
321,49
322,19
323,20
324,20
325,20
326,81
327,81
328,82
329,82
330,86
331,83
332,83
333,24
334,24
335,25
336,84
337,84
338,84
339,85
340,85
341,85
342,86
343,86
344,54
345,54
346,54
347,55
348,55
349,55
350,55
351,55
352,55
353,56
354,56
355,56
356,75
357,111
358,111
359,112
360,112
361,112
362,112
363,113
364,113
365,113
366,113
367,99
368,99
369,99
370,52
371,52
372,52
373,52
374,52
375,52
376,100
377,100
378,100
379,53
380,53
381,80
382,124
383,124
384,125
385,125
386,125
387,125
388,85
389,85
390,85
391,85
392,85
393,86
394,86
395,18
396,18
397,18
398,19
399,19
400,19
401,19
402,31
403,31
404,31
405,31
406,31
407,31
408,31
409,31
410,78
411,78
412,78
413,31
414,31
415,31
416,32
417,79
418,79
419,80
420,80
421,80
422,80
423,17
424,17
425,17
426,75
427,76
428,76
429,76
430,76
431,76
432,112
433,112
434,112
435,133
436,133
437,133
438,103
439,9
440,9
441,1
442,1
443,2
444,2
445,134
446,134
447,108
448,108
449,108
450,108
451,108
452,108
453,108
454,108
455,108
456,108
457,108
458,108
459,108
460,108
461,108
462,108
463,108
464,108
465,108
466,108
467,108
468,108
469,108
470,108
471,108
472,108
473,108
474,108
475,108
476,108
477,108
478,108
479,108
480,108
481,108
482,108
483,108
484,108
485,108
486,108
487,109
488,109
489,110
490,108
491,108
492,108
493,108
494,108
495,108
496,108
497,109
498,109
499,109
500,110
501,110
502,97
503,43
504,44
505,44
506,44
507,44
508,67
509,68
510,78
511,100
512,100
513,94
514,94
515,94
516,94
517,94
518,80
519,66
520,66
521,87
522,87
523,87
524,87
525,88
526,88
527,88
528,88
529,82
530,82
531,45
532,47
533,24
534,25
535,26
536,57
537,57
538,57
539,58
540,58
541,58
542,58
543,58
544,58
545,59
546,59
547,59
548,33
549,18
550,18
551,19
552,19
553,19
554,19
555,19
556,19
557,19
558,19
559,19
560,19
561,78
562,78
563,78
564,78
565,78
566,78
567,78
568,78
569,91
570,91
571,91
572,91
573,91
574,91
575,91
576,91
577,91
578,92
579,80
580,80
581,80
582,87
583,87
584,87
585,88
586,88
587,88
588,88
589,88
590,88
591,85
592,130
593,130
594,130
595,130
596,130
597,130
598,130
599,130
600,130
601,130
602,130
603,130
604,130
605,70
606,131
607,131
608,52
609,52
610,52
611,52
612,52
613,52
614,52
615,52
616,53
617,53
618,53
619,132
620,132
621,132
622,133
623,103
624,103
625,103
626,103
627,103
628,103
629,103
630,58
631,64
632,129
633,69
634,69
635,69
636,70
637,71
638,71
639,71
640,111
641,111
642,112
643,112
644,112
645,113
646,113
647,113
648,113
649,113
650,113
651,99
652,99
653,33
654,33
655,34
656,34
657,34
658,34
659,34
660,34
661,34
662,35
663,35
664,35
665,84
666,42
667,43
668,44
669,44
670,25
671,25
672,25
673,49
674,49
675,49
676,49
677,49
678,25
679,84
680,84
681,84
682,85
683,86
684,132
685,102
686,102
687,103
688,103
689,103
690,103
691,104
692,104
693,104
694,24
695,24
696,25
697,68
698,75
699,111
700,111
701,76
702,112
703,102
704,103
705,103
706,103
707,103
708,103
709,104
710,104
711,104
712,48
713,48
714,49
715,49
716,49
717,49
718,49
719,50
720,50
721,50
722,102
723,102
724,102
725,102
726,103
727,103
728,103
729,103
730,103
731,103
732,104
733,104
734,58
735,59
736,59
737,59
738,59
739,78
740,26
741,79
742,79
743,100
744,100
745,100
746,80
747,80
748,69
749,69
750,69
751,70
752,71
753,132
754,132
755,71
756,75
757,111
758,111
759,112
760,112
761,77
762,77
763,113
764,120
765,66
766,25
767,122
768,42
769,60
770,61
771,125
772,62
773,48
774,48
775,48
776,49
777,49
778,49
779,49
780,50
781,50
782,50
783,111
784,43
785,43
786,24
787,24
788,25
789,25
790,68
791,26
792,42
793,42
794,43
795,44
796,66
797,67
